Word,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,WeightedSum,ConcValCombo
fascism,1.83,1.23,2.5,2.09,0.5050000000000000,abstract-negative
betrayal,1.76,0.97,2.24,1.87,0.5800000000000000,abstract-negative
hatred,2.0,1.2,2.38,1.78,0.7,abstract-negative
breakup,2.0,1.28,2.19,1.17,0.8700000000000000,abstract-negative
loathing,1.89,1.23,2.42,1.26,0.9100000000000000,abstract-negative
madness,1.97,1.2,2.86,1.71,0.96,abstract-negative
contempt,1.82,1.25,3.22,1.8,0.9950000000000000,abstract-negative
revenge,1.54,0.69,2.75,1.55,1.025,abstract-negative
sadness,1.82,1.06,2.4,1.1,1.0300000000000000,abstract-negative
bummer,1.97,1.1,2.57,1.34,1.0500000000000000,abstract-negative
pizza,5.0,0.0,7.89,1.29,5.800000000000000,concrete-positive
popcorn,5.0,0.0,7.26,1.33,5.465,concrete-positive
doughnut,4.96,0.2,7.5,1.41,5.425000000000000,concrete-positive
duckling,4.93,0.26,7.18,1.18,5.335,concrete-positive
bunny,4.97,0.19,7.3,1.49,5.295,concrete-positive
dollar,4.93,0.26,7.39,1.51,5.275,concrete-positive
blanket,5.0,0.0,7.05,1.54,5.255000000000000,concrete-positive
chipmunk,4.97,0.19,7.33,1.64,5.235,concrete-positive
pancake,4.86,0.45,7.71,1.65,5.235,concrete-positive
sandwich,4.9,0.31,7.18,1.33,5.22,concrete-positive
wisdom,1.53,0.86,7.94,1.63,1.9600000000000000,abstract-positive
greatness,1.69,0.93,7.76,1.22,1.9600000000000000,abstract-positive
fondness,1.66,0.81,7.68,1.29,1.9600000000000000,abstract-positive
courage,1.52,0.99,7.67,1.32,1.9200000000000000,abstract-positive
goodness,1.38,0.73,7.38,1.83,1.72,abstract-positive
splendor,1.59,0.69,6.95,1.36,1.6550000000000000,abstract-positive
fairness,1.83,1.14,7.48,1.29,1.6100000000000000,abstract-positive
wellness,2.0,1.24,7.67,1.28,1.575,abstract-positive
justice,1.45,0.74,6.8,1.54,1.5350000000000000,abstract-positive
knowledge,1.73,0.87,7.28,1.67,1.5050000000000000,abstract-positive
feces,4.96,0.19,2.23,1.31,0.615,concrete-negative
maggot,4.97,0.18,2.0,1.59,0.6000000000000000,concrete-negative
rapist,4.32,1.22,1.3,0.73,0.5350000000000000,concrete-negative
traffic,4.67,0.62,2.18,1.05,0.4100000000000000,concrete-negative
casket,4.86,0.45,2.42,1.22,0.38500000000000000,concrete-negative
cockroach,4.96,0.19,2.46,1.63,0.3400000000000000,concrete-negative
bedpan,5.0,0.0,2.74,1.69,0.2850000000000000,concrete-negative
prison,4.68,0.67,1.94,1.55,0.2600000000000000,concrete-negative
lynching,4.28,1.17,1.67,0.96,0.2400000000000000,concrete-negative
frostbite,4.33,0.83,2.1,0.97,0.21500000000000000,concrete-negative