Word,V.Mean.Sum,V.SD.Sum,SUBTLWF,Valence,Concreteness,word_length
newborn,7.48,1.69,2.51,positive,concrete,7
sunny,7.95,0.89,7.67,positive,concrete,5
starry,7.4,1.5,0.73,positive,concrete,6
blooming,7.19,1.25,1.59,positive,concrete,8
comic,7.5,1.47,10.82,positive,neutral,5
fluffy,7.11,1.29,3.63,positive,neutral,6
colorful,7.43,1.4,3.2,positive,neutral,8
floral,7.42,1.3,0.73,positive,neutral,6
musical,7.68,1.21,13.16,positive,neutral,7
fragrant,7.05,1.18,0.71,positive,neutral,8
seasoned,7.16,1.42,0.98,positive,neutral,8
golden,7.79,1.44,23.27,positive,neutral,6
comfy,7.25,1.41,2.25,positive,neutral,5
luxurious,7.58,1.95,1.12,positive,neutral,9
homemade,7.38,1.02,2.86,positive,neutral,8
delighted,7.74,1.05,12.94,positive,neutral,9
yummy,7.52,1.94,4.47,positive,neutral,5
abundant,7.55,1.39,0.57,positive,neutral,8
energetic,7.57,0.87,1.29,positive,neutral,9
oceanic,7.45,1.26,0.61,positive,neutral,7
enthusiastic,7.55,1.61,2.78,positive,neutral,12
festive,7.14,1.46,1.92,positive,neutral,7
flowery,7.47,1.22,0.67,positive,neutral,7
productive,7.37,1.07,2.41,positive,neutral,10
playful,7.63,1.21,1.16,positive,neutral,7
confident,7.56,1.14,10.65,positive,neutral,9
relaxing,8.19,0.93,3.61,positive,neutral,8
decorative,7.52,1.47,0.86,positive,neutral,10
pleasing,7.65,1.09,1.55,positive,neutral,8
hearty,7.25,1.33,1.94,positive,neutral,6
gentle,7.42,1.72,16.55,positive,neutral,6
pleasurable,7.75,1.12,0.75,positive,neutral,11
treasured,7.14,1.53,0.59,positive,neutral,9
intelligent,7.6,1.35,13.51,positive,neutral,11
motherly,7.67,1.75,0.45,positive,neutral,8
nutritious,7.09,1.44,0.88,positive,neutral,10
radiant,7.29,1.31,2.16,positive,neutral,7
delicious,7.38,1.83,21.53,positive,neutral,9
comforting,7.47,2.17,4.35,positive,neutral,10
feminine,7.33,1.52,4.57,positive,neutral,8
refreshing,7.05,1.53,3.67,positive,neutral,10
hilarious,7.8,1.54,5.78,positive,neutral,9
delightful,7.38,1.83,9.2,positive,neutral,10
fruitful,7.11,1.49,0.92,positive,neutral,8
scrumptious,7.2,1.32,0.75,positive,neutral,11
lively,7.12,1.36,4.06,positive,neutral,6
adoring,7.38,1.32,0.69,positive,neutral,7
cheerful,8.0,1.41,3.73,positive,neutral,8
elegant,7.0,1.2,6.27,positive,neutral,7
magical,8.23,0.97,9.1,positive,neutral,7
painless,7.4,1.7,1.94,positive,neutral,8
peaceful,8.0,1.78,11.24,positive,neutral,8
satisfying,7.48,1.78,2.53,positive,neutral,10
sensual,7.4,2.06,1.51,positive,neutral,7
flattering,7.14,1.2,3.82,positive,neutral,10
generous,7.43,1.83,16.71,positive,neutral,8
gorgeous,7.57,1.66,24.06,positive,neutral,8
ravishing,7.41,1.53,1.55,positive,neutral,9
soulful,7.1,1.25,0.43,positive,neutral,7
humorous,7.81,1.66,1.47,positive,neutral,8
inexpensive,7.63,1.46,0.73,positive,neutral,11
valuable,7.17,1.42,15.59,positive,neutral,8
dreamy,7.52,1.5,1.57,positive,neutral,6
witty,7.25,1.21,3.2,positive,neutral,5
faithful,7.95,1.07,9.12,positive,neutral,8
joyous,7.45,1.82,1.35,positive,neutral,6
respectful,7.45,1.26,1.9,positive,neutral,10
euphoric,7.8,1.4,0.41,positive,neutral,8
gracious,7.23,1.23,7.16,positive,neutral,8
blissful,7.67,1.24,0.53,positive,neutral,8
amusing,7.6,1.31,9.2,positive,neutral,7
artistic,7.0,1.17,4.92,positive,neutral,8
beloved,7.38,2.13,12.76,positive,neutral,7
useful,7.1,1.25,13.12,positive,neutral,6
charitable,7.33,1.15,2.04,positive,neutral,10
extraordinary,7.45,1.39,15.12,positive,neutral,13
fabulous,7.84,1.54,20.51,positive,neutral,8
joyful,8.21,0.98,1.49,positive,neutral,6
exotic,7.55,1.57,6.0,positive,neutral,6
affordable,7.52,1.44,0.65,positive,neutral,10
appetizing,7.0,1.45,0.63,positive,neutral,10
blessed,7.5,1.76,13.8,positive,neutral,7
satisfied,7.16,1.26,15.51,positive,neutral,9
successful,7.76,1.76,20.33,positive,neutral,10
ancient,7.24,1.18,21.67,positive,neutral,7
enjoyable,7.63,1.5,1.94,positive,neutral,9
entertaining,8.0,0.84,5.65,positive,neutral,12
harmonious,7.7,1.22,0.39,positive,neutral,10
talented,7.95,1.07,11.39,positive,neutral,8
courageous,8.05,0.71,3.16,positive,abstract,10
optimistic,7.45,1.71,3.39,positive,abstract,10
resourceful,7.25,1.29,1.45,positive,abstract,11
triumphant,7.45,1.6,1.37,positive,abstract,10
lovable,8.26,0.99,1.78,positive,abstract,7
amused,7.05,1.28,2.51,positive,abstract,6
skilled,7.05,1.05,2.37,positive,abstract,7
thoughtful,7.26,1.45,7.8,positive,abstract,10
adventurous,7.37,1.01,1.22,positive,abstract,11
brotherly,7.45,1.36,0.84,positive,abstract,9
exhilarating,7.39,1.2,1.12,positive,abstract,12
fascinating,7.37,1.26,15.08,positive,abstract,11
fashionable,7.33,1.43,1.92,positive,abstract,11
considerate,7.2,1.2,3.43,positive,abstract,11
knowledgeable,7.95,1.12,0.78,positive,abstract,13
accurate,7.42,1.57,7.84,positive,abstract,8
truthful,7.48,1.29,2.14,positive,abstract,8
unique,7.32,1.11,13.65,positive,abstract,6
carefree,7.32,1.49,1.35,positive,abstract,8
adorable,7.4,1.6,10.53,positive,abstract,8
dependable,7.24,1.34,1.67,positive,abstract,10
reliable,7.3,1.34,5.9,positive,abstract,8
convenient,7.15,1.5,8.55,positive,abstract,10
heroic,7.45,2.06,4.59,positive,abstract,6
spectacular,7.5,1.36,5.67,positive,abstract,11
intellectual,7.65,1.69,4.59,positive,abstract,12
liberating,7.75,1.45,0.96,positive,abstract,10
compassionate,7.95,1.22,1.78,positive,abstract,13
splendid,7.62,1.28,11.67,positive,abstract,8
exquisite,7.53,1.26,4.18,positive,abstract,9
honorable,7.68,1.38,7.24,positive,abstract,9
helpful,7.43,1.43,12.14,positive,abstract,7
optimum,7.38,1.77,0.65,positive,abstract,7
hopeful,7.44,1.34,2.98,positive,abstract,7
loyal,7.31,1.33,12.0,positive,abstract,5
thankful,7.76,1.65,5.37,positive,abstract,8
spirited,7.57,1.12,1.22,positive,abstract,8
selfless,7.11,1.49,1.82,positive,abstract,8
easygoing,7.03,1.35,0.43,positive,abstract,9
pleasant,7.24,1.51,21.02,positive,abstract,8
amazed,7.55,0.89,5.12,positive,abstract,6
heavenly,7.89,1.52,5.53,positive,abstract,8
divine,7.15,1.42,11.65,positive,abstract,6
enlightening,7.0,1.52,0.73,positive,abstract,12
toothless,2.52,1.5,0.55,negative,concrete,9
fecal,2.4,1.14,0.59,negative,neutral,5
moldy,1.95,0.94,0.59,negative,neutral,5
overcrowded,2.55,1.53,0.45,negative,neutral,11
carsick,2.48,1.33,0.61,negative,neutral,7
obese,2.32,1.25,0.49,negative,neutral,5
deformed,2.26,1.1,1.29,negative,neutral,8
comatose,2.0,1.0,0.98,negative,neutral,8
hypodermic,2.9,1.33,0.67,negative,neutral,10
saggy,2.62,1.43,0.57,negative,neutral,5
deteriorating,2.63,1.3,0.65,negative,neutral,13
bloated,2.8,1.11,1.69,negative,neutral,7
diseased,2.24,1.34,1.14,negative,neutral,8
bankrupt,2.21,1.27,2.8,negative,neutral,8
colic,2.95,1.43,0.51,negative,neutral,5
disabled,2.7,1.15,3.47,negative,neutral,8
itchy,2.53,1.43,2.27,negative,neutral,5
orphaned,2.55,1.61,0.39,negative,neutral,8
seasick,1.89,1.29,1.37,negative,neutral,7
toxic,2.35,1.27,4.9,negative,neutral,5
motherless,1.9,1.48,0.57,negative,neutral,10
smelly,2.68,1.46,4.14,negative,neutral,6
lethal,2.48,1.47,5.67,negative,neutral,6
lifeless,2.24,1.61,1.25,negative,neutral,8
coronary,2.62,1.47,1.98,negative,neutral,8
faceless,2.58,1.74,0.73,negative,neutral,8
rancid,2.38,1.72,0.49,negative,neutral,6
bulimic,2.86,1.42,0.57,negative,neutral,7
rabid,2.95,1.36,1.37,negative,neutral,5
annoyed,2.8,1.2,3.43,negative,neutral,7
immobile,2.89,1.2,0.49,negative,neutral,8
unsanitary,1.79,1.23,0.41,negative,neutral,10
nauseating,2.73,1.45,0.59,negative,neutral,10
inoperable,2.5,1.67,0.65,negative,neutral,10
ailing,2.95,1.43,0.51,negative,neutral,6
racist,2.05,1.69,4.82,negative,neutral,6
gory,2.57,1.66,0.73,negative,neutral,4
catastrophic,2.05,1.1,1.27,negative,neutral,12
poisonous,2.52,1.66,3.33,negative,neutral,9
gruesome,2.89,1.41,2.04,negative,neutral,8
disorderly,2.95,1.39,1.35,negative,neutral,10
unhealthy,2.55,1.47,1.63,negative,neutral,9
greedy,2.1,1.48,6.63,negative,neutral,6
bubonic,2.17,1.47,0.41,negative,neutral,7
parasitic,1.95,1.03,0.47,negative,neutral,9
enraged,2.33,1.39,0.69,negative,neutral,7
overworked,1.9,1.04,0.98,negative,neutral,10
retarded,2.25,1.55,6.24,negative,neutral,8
revolting,2.47,1.9,1.92,negative,neutral,9
abusive,2.05,1.7,1.63,negative,neutral,7
infuriating,2.63,1.21,0.49,negative,neutral,11
extinct,2.74,1.37,2.51,negative,neutral,7
unpaid,2.58,1.3,1.0,negative,neutral,6
horrific,2.2,1.99,1.37,negative,neutral,8
sullen,2.84,1.01,0.57,negative,neutral,6
bloodthirsty,2.55,1.76,0.96,negative,neutral,12
penniless,2.55,1.1,1.24,negative,neutral,9
grumpy,2.81,1.25,2.35,negative,neutral,6
murderous,2.05,1.67,1.82,negative,neutral,9
nauseous,1.95,1.85,3.1,negative,neutral,8
defenseless,2.68,1.42,1.33,negative,neutral,11
dismal,2.6,1.39,0.94,negative,neutral,6
sinister,2.63,1.57,2.18,negative,neutral,8
heartbroken,1.95,1.0,1.82,negative,neutral,11
traumatic,2.22,1.4,2.71,negative,neutral,9
satanic,1.94,1.39,1.35,negative,neutral,7
malicious,2.32,1.42,1.57,negative,neutral,9
disastrous,2.21,1.93,1.67,negative,neutral,10
drab,2.76,1.26,0.8,negative,neutral,4
sickening,2.53,1.58,0.9,negative,neutral,9
furious,2.57,1.6,6.0,negative,neutral,7
infectious,2.63,1.86,1.27,negative,neutral,10
insulting,1.89,0.94,5.37,negative,neutral,9
anguished,2.78,1.46,0.25,negative,neutral,9
needy,2.9,1.29,3.04,negative,neutral,5
distraught,2.81,1.47,1.55,negative,neutral,10
suicidal,2.15,2.16,2.9,negative,neutral,8
unsuccessful,2.33,1.39,0.86,negative,neutral,12
fraught,2.94,1.47,0.69,negative,neutral,7
impoverished,2.43,1.41,0.57,negative,neutral,12
unkind,2.55,1.54,1.39,negative,neutral,6
bossy,2.86,1.36,1.75,negative,neutral,5
excruciating,2.1,1.51,1.31,negative,neutral,12
vengeful,2.16,1.42,1.0,negative,neutral,8
wimpy,2.76,1.3,0.84,negative,neutral,5
harmful,2.29,1.95,1.29,negative,neutral,7
unfeeling,2.79,1.18,0.65,negative,neutral,9
derogatory,2.7,1.34,0.61,negative,neutral,10
frightening,2.58,1.61,5.76,negative,neutral,11
irritable,2.85,0.93,1.45,negative,neutral,9
horrid,2.68,1.38,2.45,negative,neutral,6
inconsiderate,2.58,1.46,1.43,negative,neutral,13
vile,2.21,1.44,4.43,negative,neutral,4
deceitful,2.6,1.67,1.14,negative,neutral,9
unfriendly,2.3,1.87,1.04,negative,neutral,10
dreaded,2.11,1.33,1.35,negative,neutral,7
problematic,2.58,1.22,0.94,negative,neutral,11
repulsive,1.95,1.2,2.02,negative,neutral,9
devastating,2.09,1.31,2.73,negative,neutral,11
irritating,2.63,1.42,2.18,negative,neutral,10
destitute,2.11,1.41,0.71,negative,neutral,9
terrifying,2.63,1.92,4.25,negative,neutral,10
arrogant,2.52,1.29,5.22,negative,neutral,8
fruitless,2.95,1.32,0.45,negative,neutral,9
hateful,1.9,0.91,2.0,negative,neutral,7
horrendous,2.58,1.39,1.02,negative,neutral,10
sadistic,2.62,1.94,1.71,negative,neutral,8
degenerate,2.7,1.3,1.82,negative,neutral,10
irresponsible,2.5,1.4,4.65,negative,neutral,13
prejudiced,2.7,1.26,1.86,negative,neutral,10
scornful,2.5,1.15,0.08,negative,neutral,8
troublesome,2.74,1.19,1.55,negative,neutral,11
unattractive,2.37,1.12,1.8,negative,neutral,12
wretched,2.57,1.36,3.63,negative,neutral,8
deathly,1.95,1.18,0.55,negative,abstract,7
stingy,2.53,1.47,1.24,negative,abstract,6
unbearable,2.1,0.94,2.53,negative,abstract,10
hectic,2.8,1.15,1.84,negative,abstract,6
inadequate,2.57,1.21,1.86,negative,abstract,10
disgraceful,2.35,1.35,1.82,negative,abstract,11
unfaithful,2.33,1.75,2.35,negative,abstract,10
dishonorable,2.33,1.28,0.63,negative,abstract,12
negligent,2.05,1.28,1.0,negative,abstract,9
unpleasant,2.53,1.43,6.1,negative,abstract,10
stressful,2.62,1.36,2.51,negative,abstract,9
unfit,2.95,1.39,1.55,negative,abstract,5
incurable,1.9,1.61,1.02,negative,abstract,9
pathological,2.71,1.45,1.47,negative,abstract,12
humiliating,2.16,1.57,5.88,negative,abstract,11
loveless,2.59,1.89,0.45,negative,abstract,8
meaningless,2.95,1.39,4.86,negative,abstract,11
uneasy,2.86,1.04,2.08,negative,abstract,6
demeaning,2.62,1.28,0.86,negative,abstract,9
uncooperative,2.86,1.46,0.63,negative,abstract,13
insecure,2.3,1.44,4.06,negative,abstract,8
unreliable,2.74,1.19,1.67,negative,abstract,10
grim,2.41,1.14,4.78,negative,abstract,4
illegitimate,2.79,1.23,1.33,negative,abstract,12
disappointing,2.79,1.13,3.43,negative,abstract,13
frustrating,2.57,1.43,2.47,negative,abstract,11
depressing,2.48,1.69,6.35,negative,abstract,10
homicidal,2.0,1.2,2.02,negative,abstract,9
traitorous,2.32,1.11,0.47,negative,abstract,10
crappy,2.35,1.57,4.96,negative,abstract,6
unappreciated,2.65,1.46,0.47,negative,abstract,13
disloyal,2.27,1.22,0.96,negative,abstract,8
pitiful,2.89,1.24,3.84,negative,abstract,7
ungrateful,2.68,1.45,4.61,negative,abstract,10
conceited,2.75,1.37,1.84,negative,abstract,9
unethical,2.19,1.36,1.76,negative,abstract,9
immoral,2.79,1.47,2.61,negative,abstract,7
discriminating,2.33,1.15,0.49,negative,abstract,14
inconvenient,2.73,1.16,1.63,negative,abstract,12
despicable,2.76,1.45,2.1,negative,abstract,10
unforgiving,2.41,1.59,0.51,negative,abstract,11
unforgivable,2.33,1.61,1.96,negative,abstract,12
