Word,Concreteness,ConcValCombo,Group,F_value,J_value
mind,psychological,NA,B,psychological,physical
dream,psychological,NA,B,psychological,physical
fear,psychological,NA,B,psychological,physical
memory,psychological,NA,B,psychological,physical
mood,psychological,NA,B,psychological,physical
body,physical,NA,B,psychological,physical
heat,physical,NA,B,psychological,physical
stone,physical,NA,B,psychological,physical
water,physical,NA,B,psychological,physical
hand,physical,NA,B,psychological,physical